blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,End_Text.started,End_Text.stopped,fixation.started,fixation.stopped,fixation_end.keys,fixation_end.rt,fixation_end.started,fixation_end.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,32.37723499600179,None,s,25.834271259998786,32.37723499600179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
block5.xlsx,10,7.5,4.6,3 x 6,18,7,6 x 3 = 18,small-sized_high-interference,small-sized,high-interference,8,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,58.24209089299984,None,63.26347038599852,None,73.28306853300091,None,73.76191766000193,None,75.75874351400125,None,76.50860395999916,None,76.76127405200168,None,76.76127405200168,None,d,0,0.6450755779987958,76.76127405200168,None,77.42580127900146,None,77.42580127900146,None,d,0.6045676070025365,77.42580127900146,None,78.05806777399994,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
block5.xlsx,22.1,7.5,7,9 x 9,72,16,9 x 9 = 72,large-sized_low-interference,large-sized,low-interference,6,IncorrectRESP,d,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,82.65940435,None,83.16198805300155,None,85.17595837499903,None,85.92647333900095,None,86.17817514900162,None,86.17817514900162,None,a,0,0.7480887259989686,86.17817514900162,None,86.94298543100012,None,86.94298543100012,None,d,0.6393933760009531,86.94298543100012,None,87.60936866100019,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
block5.xlsx,36.6,7.5,4.4,2 x 6,12,6,6 x 2 = 12,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,94.60994519000087,None,95.10905914,None,97.10946577800132,None,97.85938608500146,None,98.10926499800189,None,98.10926499800189,None,d,0,0.8971002940015751,98.10926499800189,None,99.02527902,None,99.02527902,None,d,0.5409918069999549,99.02527902,None,99.59225728,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
block5.xlsx,48.5,7.5,9.6,8 x 3,24,12,3 x 8 = 24,small-sized_high-interference,small-sized,high-interference,13,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,103.99256561400034,None,104.49227807699936,None,106.49254900899905,None,107.24256305699964,None,107.49242378300187,None,107.49242378300187,None,d,0,0.6898422339982062,107.49242378300187,None,108.2089218450019,None,108.2089218450019,None,d,0.28537000800133683,108.2089218450019,None,108.52588398100124,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
block5.xlsx,65.6,7.5,5.4,5 x 5,30,3,5 x 5 = 30,small-sized_low-interference,small-sized,low-interference,3,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,118.12607335000212,None,118.62721730200064,None,120.62304871100059,None,121.36486523200074,None,121.61298393800098,None,121.61298393800098,None,a,0,0.6813061559987545,121.61298393800098,None,122.32643247500164,None,122.32643247500164,None,d,0.2958959209972818,122.32643247500164,None,122.64251244200204,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
block5.xlsx,78.5,7.5,7.7,3 x 9,27,19,9 x 3 = 27,large-sized_high-interference,large-sized,high-interference,9,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,128.04285614900073,None,128.54274628200073,None,130.54271283300113,None,131.2922019329999,None,131.54254001400113,None,131.54254001400113,None,d,0,0.7356805210001767,131.54254001400113,None,132.30922102000113,None,132.30922102000113,None,d,0.617035241,132.30922102000113,None,132.95893540600082,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
block5.xlsx,93.7,7.5,3.5,2 x 8,18,5,8 x 2 = 18,small-sized_low-interference,small-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,140.6591956759985,None,141.1591928179987,None,143.15930070000104,None,143.90916881299927,None,144.15904604599928,None,144.15904604599928,None,a,0,0.639296233,144.15904604599928,None,144.82421917100146,None,144.82421917100146,None,d,0.20612384700143593,144.82421917100146,None,145.05885249800122,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
block5.xlsx,104.7,7.5,6.4,7 x 7,49,18,7 x 7 = 49,large-sized_low-interference,large-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,148.55922076299976,None,149.0587188390018,None,151.05934816700028,None,151.80935927500104,None,152.05971852199946,None,152.05971852199946,None,d,0,0.5386501429966302,152.05971852199946,None,152.62578585899973,None,152.62578585899973,None,d,0.6284990420026588,152.62578585899973,None,153.27574858699882,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
block5.xlsx,118.6,7.5,3.2,8 x 5,45,21,5 x 8 = 45,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,159.67280884700085,None,160.17633410200142,None,162.17602153400003,None,162.9262471180009,None,163.17540052299955,None,163.17540052299955,None,a,0,0.7268863190001866,163.17540052299955,None,163.92549178099944,None,163.92549178099944,None,d,0.7048858099988138,163.92549178099944,None,164.6594722539994,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,002,1: right,2023_Oct_14_1735,[FINAL]_fmri_multiplication,2021.2.3,60.04622598751384
