blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,End_Text.started,End_Text.stopped,fixation.started,fixation.stopped,fixation_end.keys,fixation_end.rt,fixation_end.started,fixation_end.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,42.26685064100093,None,s,34.37945049599875,42.26685064100093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
block1.xlsx,10,7.5,15.3,6 x 6,36,13,6 x 6 = 36,large-sized_low-interference,large-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,76.67046118000144,None,81.69252527500066,None,91.69614809700215,None,92.19006399900172,None,94.17105788,None,94.92043450200072,None,95.17231444700155,None,95.17231444700155,None,d,0,0.597744277,95.17231444700155,None,95.80321502800143,None,95.80321502800143,None,d,0.5589182399999117,95.80321502800143,None,96.38663246800206,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
block1.xlsx,32.8,7.5,2.5,2 x 9,18,2,2 x 9 = 18,small-sized_low-interference,small-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,111.68732127299882,None,112.18999551700108,None,114.20415413700175,None,114.9542285940006,None,115.21824649200062,None,115.21824649200062,None,d,0,0.6958663260011235,115.21824649200062,None,115.93699873199876,None,115.93699873199876,None,d,0.5450876920003793,115.93699873199876,None,116.50357739199899,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
block1.xlsx,42.8,7.5,3.8,8 x 4,28,24,8 x 4 = 28,large-sized_high-interference,large-sized,high-interference,25,IncorrectRESP,d,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,119.00393470600102,None,119.50561457000003,None,121.52067186299973,None,122.27029310700163,None,122.52018695999868,None,122.52018695999868,None,a,0,0.7539534880015708,122.52018695999868,None,123.30339680800171,None,123.30339680800171,None,d,0.5786610230024962,123.30339680800171,None,123.90326171700144,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
block1.xlsx,54.1,7.5,5.5,7 x 2,14,1,7 x 2 = 14,small-sized_low-interference,small-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,127.70374198100035,None,128.20501593500012,None,130.22032565100017,None,130.9703869,None,131.22025654800018,None,131.22025654800018,None,d,0,0.629859832,131.22025654800018,None,131.87008852299914,None,131.87008852299914,None,d,0.6759830160008278,131.87008852299914,None,132.56992438499947,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
block1.xlsx,67.1,7.5,3,7 x 7,56,18,7 x 7 = 56,large-sized_low-interference,large-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,138.0698669980011,None,138.5701090219991,None,140.57035190999886,None,141.32034226199903,None,141.58438647200092,None,141.58438647200092,None,a,0,0.689752327,141.58438647200092,None,142.3033207619992,None,142.3033207619992,None,d,0.4667304829999921,142.3033207619992,None,142.8033890939987,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
block1.xlsx,77.6,7.5,2.1,3 x 4,12,9,3 x 4 = 12,small-sized_high-interference,small-sized,high-interference,10,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,145.8036547039992,None,146.30386922199978,None,148.30412778699974,None,149.05410797700097,None,149.3047160890019,None,149.3047160890019,None,d,0,0.7934446420003951,149.3047160890019,None,150.12030884100022,None,150.12030884100022,None,d,0.5857460320003156,150.12030884100022,None,150.7375382829996,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
block1.xlsx,87.2,7.5,5,8 x 7,63,22,8 x 7 = 63,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,152.83696559099917,None,153.33726004599885,None,155.33691674500005,None,156.08731213099963,None,156.33844473800127,None,156.33844473800127,None,a,0,1.2396870810007385,156.33844473800127,None,157.60309523899923,None,157.60309523899923,None,a,0.6230581579984573,157.60309523899923,None,158.25365787000192,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
block1.xlsx,99.7,7.5,3,5 x 5,25,3,5 x 5 = 25,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,163.2526700720009,None,163.75350275399978,None,165.75373217000015,None,166.5036172910004,None,166.75351684999987,None,166.75351684999987,None,d,0,1.0806039779999992,166.75351684999987,None,167.85307906000162,None,167.85307906000162,None,d,0.9410867519982276,167.85307906000162,None,168.8197873370009,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
block1.xlsx,110.2,7.5,6.5,6 x 4,28,10,6 x 4 = 28,small-sized_high-interference,small-sized,high-interference,12,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,171.8199555350002,None,172.32047385700207,None,174.3203466140003,None,175.07030313900032,None,175.32002275700142,None,175.32002275700142,None,a,0,0.9300834569985454,175.32002275700142,None,176.26991918899876,None,176.26991918899876,None,d,0.49222641500091413,176.26991918899876,None,176.78666153599988,None,,,,,,,,,,,,,sub-18,30/07/2001,1: Male,14/10/2023,001,1: right,2023_Oct_14_1706,[FINAL]_fmri_multiplication,2021.2.3,60.110774057757666
