blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,End_Text.started,End_Text.stopped,fixation.started,fixation.stopped,fixation_end.keys,fixation_end.rt,fixation_end.started,fixation_end.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,33.55302408999887,None,s,36.15873280099913,33.55302408999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,10,7.5,15.3,6 x 6,36,13,6 x 6 = 36,large-sized_low-interference,large-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,69.74178097000004,None,74.76229625699852,None,84.78243446200031,None,85.24353602,None,87.24203868199947,None,87.99204418599948,None,88.24334882099902,None,88.24334882099902,None,d,0,0.7502708960000746,88.24334882099902,None,89.02438679,None,89.02438679,None,d,0.5052925950003555,89.02438679,None,89.55860596,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,32.8,7.5,2.5,2 x 9,18,2,2 x 9 = 18,small-sized_low-interference,small-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,104.85821084999952,None,105.36073914699955,None,107.37454299699857,None,108.12503575200026,None,108.37600277399906,None,108.37600277399906,None,d,0,0.577676352,108.37600277399906,None,108.97455502999946,None,108.97455502999946,None,d,0.21114582999871345,108.97455502999946,None,109.20785637199879,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,42.8,7.5,3.8,8 x 4,28,24,8 x 4 = 28,large-sized_high-interference,large-sized,high-interference,25,IncorrectRESP,d,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,111.70826786199905,None,112.20971522199943,None,114.22511413999928,None,114.97486233899872,None,115.22633760600002,None,115.22633760600002,None,a,0,0.8152758670003095,115.22633760600002,None,116.05862319900007,None,116.05862319900007,None,d,0.6151114140011487,116.05862319900007,None,116.68905828899915,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,54.1,7.5,5.5,7 x 2,14,1,7 x 2 = 14,small-sized_low-interference,small-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,120.48121636999895,None,120.98533261800003,None,122.9920408830003,None,123.74192305499855,None,123.99166124099975,None,123.99166124099975,None,d,0,0.6019992990004539,123.99166124099975,None,124.6234362999985,None,124.6234362999985,None,d,0.2422038929998962,124.6234362999985,None,124.89173124199988,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,67.1,7.5,3,7 x 7,56,18,7 x 7 = 56,large-sized_low-interference,large-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,130.39208718199916,None,130.89002028199866,None,132.89164495799923,None,133.64162117199885,None,133.8925060040001,None,133.8925060040001,None,a,0,0.8133124700016197,133.8925060040001,None,134.72451442700003,None,134.72451442700003,None,d,0.41310380499999155,134.72451442700003,None,135.15786192199994,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,77.6,7.5,2.1,3 x 4,12,9,3 x 4 = 12,small-sized_high-interference,small-sized,high-interference,10,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,138.15821174899975,None,138.67490105700017,None,140.67455484099992,None,141.42506832300023,None,141.67344926499936,None,141.67344926499936,None,d,0,0.5842738009996538,141.67344926499936,None,142.27449074200013,None,142.27449074200013,None,d,0.21529966500020237,142.27449074200013,None,142.50784342099905,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,87.2,7.5,5,8 x 7,63,22,8 x 7 = 63,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,144.6078120789989,None,145.10937506299888,None,147.12506065100024,None,147.87503829100024,None,148.12525865299904,None,148.12525865299904,None,a,0,0.8283838080005808,148.12525865299904,None,148.9747092359994,None,148.9747092359994,None,d,0.25090556999930413,148.9747092359994,None,149.25845354800003,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,99.7,7.5,3,5 x 5,25,3,5 x 5 = 25,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,154.25840219199927,None,154.75757616599913,None,156.7585820989989,None,157.5085423849996,None,157.75878679199923,None,157.75878679199923,None,d,0,0.5948720969990973,157.75878679199923,None,158.37402960500003,None,158.37402960500003,None,d,0.21961448200090672,158.37402960500003,None,158.6255363399996,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,110.2,7.5,6.5,6 x 4,28,10,6 x 4 = 28,small-sized_high-interference,small-sized,high-interference,12,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,161.6251715039998,None,162.12459786899853,None,164.12483262800015,None,164.87453960699895,None,165.12436706100016,None,165.12436706100016,None,a,0,0.7653689800008578,165.12436706100016,None,165.90685251899959,None,165.90685251899959,None,d,0.28673455599891895,165.90685251899959,None,166.2252245,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,124.2,7.5,5.7,5 x 8,40,21,5 x 8 = 40,large-sized_high-interference,large-sized,high-interference,9,CorrectRESP,a,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,172.72516935599924,None,173.2248703309997,None,175.2250656039996,None,175.97494951599947,None,176.22701097800018,None,176.22701097800018,None,d,0,0.6307262999998784,176.22701097800018,None,176.87396150099994,None,176.87396150099994,None,d,0.19977065100101754,176.87396150099994,None,177.09116258599897,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,137.4,7.5,11.2,7 x 3,24,11,7 x 3 = 24,small-sized_high-interference,small-sized,high-interference,13,IncorrectRESP,d,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,182.79170395999972,None,183.28932513699874,None,185.29158937299871,None,186.04172112699962,None,186.2917826289995,None,186.2917826289995,None,a,0,0.7819040389986185,186.2917826289995,None,187.09146993299873,None,187.09146993299873,None,d,0.2862174879992381,187.09146993299873,None,187.3982491429997,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,156.1,7.5,6.9,5 x 6,30,14,5 x 6 = 30,large-sized_low-interference,large-sized,low-interference,6,CorrectRESP,a,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,198.6082459879999,None,199.10816793499907,None,201.1085122509994,None,201.8583070429995,None,202.10798795299888,None,202.10798795299888,None,d,0,0.7016338829998858,202.10798795299888,None,202.84046884599957,None,202.84046884599957,None,d,0.19317046499963908,202.84046884599957,None,203.0585281679996,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,170.5,7.5,2.4,6 x 2,10,6,6 x 2 = 10,small-sized_low-interference,small-sized,low-interference,3,IncorrectRESP,d,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,209.95828610999888,None,210.45816677699986,None,212.45782947099906,None,213.20786193499953,None,213.45879502999924,None,213.45879502999924,None,a,0,0.5668465849994391,213.45879502999924,None,214.05817998699968,None,214.05817998699968,None,d,0.23155632099951617,214.05817998699968,None,214.30789484999877,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,180.4,7.5,4.6,4 x 9,36,20,4 x 9 = 36,large-sized_high-interference,large-sized,high-interference,9,CorrectRESP,a,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,216.70813098100007,None,217.2079269599999,None,219.20846468199852,None,219.9583830419997,None,220.20944383200003,None,220.20944383200003,None,d,0,0.5521685439998691,220.20944383200003,None,220.79038056699937,None,220.79038056699937,None,d,0.1793270419984765,220.79038056699937,None,220.9914407489996,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,192.5,7.5,9,7 x 5,40,17,7 x 5 = 40,large-sized_low-interference,large-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,225.5879351980002,None,226.08329751699966,None,228.09199048499977,None,228.8419117049998,None,229.09202615100003,None,229.09202615100003,None,a,0,0.49366999000085343,229.09202615100003,None,229.60797731099956,None,229.60797731099956,None,d,0.3696387939999113,229.60797731099956,None,230.0087459589995,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,209,7.5,5.8,6 x 3,18,7,6 x 3 = 18,small-sized_high-interference,small-sized,high-interference,8,CorrectRESP,a,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,239.00849493399983,None,239.5087655,None,241.50826685799984,None,242.2582062700003,None,242.50828538399946,None,242.50828538399946,None,d,0,0.4933525799988274,242.50828538399946,None,243.0245204519997,None,243.0245204519997,None,d,0.17711901999973634,243.0245204519997,None,243.22452532699936,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,222.3,7.5,2.9,7 x 6,48,23,7 x 6 = 48,large-sized_high-interference,large-sized,high-interference,22,IncorrectRESP,d,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,249.02502249099962,None,249.52494574699995,None,251.5250321069998,None,252.27503668699865,None,252.5245259209987,None,252.5245259209987,None,a,0,0.5410893719999876,252.5245259209987,None,253.09108835199913,None,253.09108835199913,None,d,0.21463707000111754,253.09108835199913,None,253.3246132789991,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
block1.xlsx,232.7,7.5,6.9,9 x 5,45,15,9 x 5 = 45,large-sized_low-interference,large-sized,low-interference,6,CorrectRESP,a,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,256.22534609799914,None,256.7248893629985,None,258.72215864699865,None,259.46359441799905,None,259.71065418999933,None,259.71065418999933,None,d,0,0.4909884709995822,259.71065418999933,None,260.22492580799917,None,260.22492580799917,None,d,0.18470316999992065,260.22492580799917,None,260.4418756239993,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,001,1: right,2023_Oct_21_0951,[FINAL]_fmri_multiplication,2021.2.3,59.93942701311696
