blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,End_Text.started,End_Text.stopped,fixation.started,fixation.stopped,fixation_end.keys,fixation_end.rt,fixation_end.started,fixation_end.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,32.16506331299934,None,s,19.384636319999117,32.16506331299934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
block5.xlsx,10,7.5,4.6,3 x 6,18,7,6 x 3 = 18,small-sized_high-interference,small-sized,high-interference,8,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,51.57045645299877,None,56.59116098699997,None,66.59750231999897,None,67.07511064,None,69.07132571099828,None,69.82168740799898,None,70.07389431799857,None,70.07389431799857,None,d,0,0.4813930399996025,70.07389431799857,None,70.58778391799933,None,70.58778391799933,None,d,0.19965257100011513,70.58778391799933,None,70.80451672099844,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
block5.xlsx,22.1,7.5,7,9 x 9,72,16,9 x 9 = 72,large-sized_low-interference,large-sized,low-interference,6,IncorrectRESP,d,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,75.40471428,None,75.90586020299997,None,77.92138994099878,None,78.67130312,None,78.93517574699945,None,78.93517574699945,None,a,0,0.49217015000067477,78.93517574699945,None,79.45450650299972,None,79.45450650299972,None,d,0.27679414600061136,79.45450650299972,None,79.75441923999824,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
block5.xlsx,36.6,7.5,4.4,2 x 6,12,6,6 x 2 = 12,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,86.75468749399988,None,87.25441332899936,None,89.25461907399949,None,90.00460151899824,None,90.25440232899928,None,90.25440232899928,None,d,0,0.45286993800073105,90.25440232899928,None,90.73691358099859,None,90.73691358099859,None,d,0.16241342699868255,90.73691358099859,None,90.92084647,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
block5.xlsx,48.5,7.5,9.6,8 x 3,24,12,3 x 8 = 24,small-sized_high-interference,small-sized,high-interference,13,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,95.32090280899865,None,95.82083075,None,97.82136156099841,None,98.57116286799828,None,98.82130082299955,None,98.82130082299955,None,d,0,0.5260071649991005,98.82130082299955,None,99.37101387799885,None,99.37101387799885,None,d,0.16827886999999464,99.37101387799885,None,99.57128823499988,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
block5.xlsx,65.6,7.5,5.4,5 x 5,30,3,5 x 5 = 30,small-sized_low-interference,small-sized,low-interference,3,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,109.17120173999865,None,109.67277943399858,None,111.68831893699826,None,112.4380369999999,None,112.68800506199841,None,112.68800506199841,None,a,0,0.6512756279989844,112.68800506199841,None,113.3712678489992,None,113.3712678489992,None,d,0.32804549699903873,113.3712678489992,None,113.72077157199965,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
block5.xlsx,78.5,7.5,7.7,3 x 9,27,19,9 x 3 = 27,large-sized_high-interference,large-sized,high-interference,9,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,119.12137523299862,None,119.62075927099977,None,121.62138455599961,None,122.37119709499893,None,122.62107897499845,None,122.62107897499845,None,d,0,0.41421802699915133,122.62107897499845,None,123.05411843099864,None,123.05411843099864,None,d,0.17327207199923578,123.05411843099864,None,123.25465134299884,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
block5.xlsx,93.7,7.5,3.5,2 x 8,18,5,8 x 2 = 18,small-sized_low-interference,small-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,130.95473286499873,None,131.4541458019994,None,133.45459197699893,None,134.20471744499991,None,134.4542746399984,None,134.4542746399984,None,a,0,0.6369926970000961,134.4542746399984,None,135.12115196999912,None,135.12115196999912,None,d,0.21814783999980136,135.12115196999912,None,135.37124032999964,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
block5.xlsx,104.7,7.5,6.4,7 x 7,49,18,7 x 7 = 49,large-sized_low-interference,large-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,138.8689587789995,None,139.37197526699856,None,141.37157048099834,None,142.1215730169988,None,142.37168151399965,None,142.37168151399965,None,d,0,0.41572011100106465,142.37168151399965,None,142.80484205899847,None,142.80484205899847,None,d,0.1665708619984798,142.80484205899847,None,142.98783278099836,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
block5.xlsx,118.6,7.5,3.2,8 x 5,45,21,5 x 8 = 45,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,149.3878057949987,None,149.8879920249983,None,151.88798250799846,None,152.63816100799886,None,152.88666490799915,None,152.88666490799915,None,a,0,0.5166965119988163,152.88666490799915,None,153.4208692029988,None,153.4208692029988,None,d,0.26243452500057174,153.4208692029988,None,153.70413526799894,None,,,,,,,,,,,,,sub-10,08/08/2001,1: Male,21/10/2023,002,1: right,2023_Oct_21_1020,[FINAL]_fmri_multiplication,2021.2.3,59.97611583
