blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,End_Text.started,End_Text.stopped,fixation.started,fixation.stopped,fixation_end.keys,fixation_end.rt,fixation_end.started,fixation_end.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,34.08868729799724,None,s,35.00153346099978,34.08868729799724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
block1.xlsx,10,7.5,15.3,6 x 6,36,13,6 x 6 = 36,large-sized_low-interference,large-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,69.10725328000262,None,74.12630864899984,None,84.14463568400242,None,84.62604783399729,None,86.62323406799987,None,87.37301700699754,None,87.62486049799918,None,87.62486049799918,None,d,0,0.5267100010023569,87.62486049799918,None,88.18754862,None,88.18754862,None,a,0.3720155459959642,88.18754862,None,88.59015830600401,None,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
block1.xlsx,32.8,7.5,2.5,2 x 9,18,2,2 x 9 = 18,small-sized_low-interference,small-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,103.89040550900245,None,104.39314563199878,None,106.40716716200404,None,107.1568615310025,None,107.40804178200051,None,107.40804178200051,None,d,0,0.4556107120006345,107.40804178200051,None,107.89027626800089,None,107.89027626800089,None,d,0.26930156299931696,107.89027626800089,None,108.19014367600175,None,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
block1.xlsx,42.8,7.5,3.8,8 x 4,28,24,8 x 4 = 28,large-sized_high-interference,large-sized,high-interference,25,IncorrectRESP,d,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,110.68990045700048,None,111.19065834500361,None,113.19014968300326,None,113.94014675600192,None,114.1901190810022,None,114.1901190810022,None,a,0,0.5934864139999263,114.1901190810022,None,114.80638200500107,None,114.80638200500107,None,d,0.28929538700322155,114.80638200500107,None,115.1234620230025,None,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
block1.xlsx,54.1,7.5,5.5,7 x 2,14,1,7 x 2 = 14,small-sized_low-interference,small-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,118.94022437300009,None,119.44093721800164,None,121.45682295299775,None,122.20683855099924,None,122.4565648429998,None,122.4565648429998,None,d,0,0.5190018699940993,122.4565648429998,None,123.00553354799922,None,123.00553354799922,None,d,0.27408246399863856,123.00553354799922,None,123.30606534300023,None,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
block1.xlsx,67.1,7.5,3,7 x 7,56,18,7 x 7 = 56,large-sized_low-interference,large-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,128.80683887199848,None,129.30700883700047,None,131.30676633400435,None,132.0567491690017,None,132.3209831560016,None,132.3209831560016,None,a,0,0.6467261869984213,132.3209831560016,None,132.99002002400084,None,132.99002002400084,None,d,0.24165484299737727,132.99002002400084,None,133.25666134899802,None,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
block1.xlsx,77.6,7.5,2.1,3 x 4,12,9,3 x 4 = 12,small-sized_high-interference,small-sized,high-interference,10,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,136.2569059230009,None,136.7573949389989,None,138.75634221499786,None,139.50718804300413,None,139.7574215709974,None,139.7574215709974,None,d,0,0.5382651440013433,139.7574215709974,None,140.32365117299923,None,140.32365117299923,None,d,0.17202225100481883,140.32365117299923,None,140.52392169299856,None,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
block1.xlsx,87.2,7.5,5,8 x 7,63,22,8 x 7 = 63,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,142.62356047199864,None,143.12329881200276,None,145.12347331600176,None,145.87334082400048,None,146.1235217220019,None,146.1235217220019,None,a,0,0.6360540500027128,146.1235217220019,None,146.79009751400008,None,146.79009751400008,None,d,0.089554114,146.79009751400008,None,146.90677985199727,None,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
block1.xlsx,99.7,7.5,3,5 x 5,25,3,5 x 5 = 25,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,151.90633481799887,None,152.40667952100193,None,154.4068227500029,None,155.15631266200216,None,155.40708590199938,None,155.40708590199938,None,d,0,0.5364739529977669,155.40708590199938,None,155.97337386399886,None,155.97337386399886,None,d,0.3701943729975028,155.97337386399886,None,156.37346520400024,None,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
block1.xlsx,110.2,7.5,6.5,6 x 4,28,10,6 x 4 = 28,small-sized_high-interference,small-sized,high-interference,12,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,159.3731635840013,None,159.8727621529979,None,161.87351179699908,None,162.62346292899747,None,162.87323473099968,None,162.87323473099968,None,a,0,0.6623322269952041,162.87323473099968,None,163.5563386290014,None,163.5563386290014,None,d,0.1553421279968461,163.5563386290014,None,163.74015092600166,None,,,,,,,,,,,,,sub-21,31/03/2003,1: Male,15/10/2023,001,1: right,2023_Oct_15_1649,[FINAL]_fmri_multiplication,2021.2.3,60.20177431392194
